settlment_name,koatuu,lat,lng,oblast_name,settlment_type,rajon_name
Двірець,6123483102,25.644127555083646,50.02804720133002,Тернопільська,село,Кременецький
Двірці,6120487003,24.864486324378028,49.56311787212697,Тернопільська,село,Бережанський
Дворище,6123084005,25.358774829113013,49.41689971766684,Тернопільська,село,Козівський
Вільшанка,3523683901,31.0724815427035,48.63162973001406,Кіровоградська,село,Новоархангельський
Вірне,3521781003,31.06857965277564,48.55357844305074,Кіровоградська,село,Добровеличківський
Владиславка,3524381302,30.743821833398766,48.25774267211304,Кіровоградська,село,Вільшанський
Вовча Балка,3524382203,30.84734681990713,48.37379742447965,Кіровоградська,село,Вільшанський
Водяне,3521782702,31.083856906034793,48.49085051412909,Кіровоградська,село,Добровеличківський
Водяне,3522881101,31.97202404814506,48.17478370172403,Кіровоградська,село,Компаніївський
Арциз,5120410100,29.40693690867579,45.98006632823987,Одеська,місто,Арцизький
Жовтневе,6125289202,25.766756606154264,49.55977673822159,Тернопільська,село,Тернопільський
Вікняне,3521783002,31.27124003843749,48.210131327712205,Кіровоградська,село,Добровеличківський
Вільне,3522581901,32.12162450311395,48.497336250485525,Кіровоградська,село,Кіровоградський
Вільне,3524085602,31.774631119174423,48.29455267872889,Кіровоградська,село,Новоукраїнський
Вільний Посад,3520385202,33.19792662373038,48.78431058833977,Кіровоградська,село,Олександрійський
Вільні Луки,3524082802,31.71212815808203,48.119815939562926,Кіровоградська,село,Новоукраїнський
Вільхове,3525587101,30.172318158877516,48.4539201136985,Кіровоградська,село,Ульяновський
Вільховецьке,3521183602,30.0194402273941,48.32057455206422,Кіровоградська,село,Гайворонський
Суворове,5122055400,28.98365685097683,45.582601457070155,Одеська,селища міського типу,Ізмаїльський
Таїрове,5123755800,30.652560997828843,46.364719691940515,Одеська,селища міського типу,Овідіопольський
Чорноморське,5122755900,30.95534002921189,46.58952232901228,Одеська,селища міського типу,Комінтернівський
Ширяєве,5125455100,30.191500638125916,47.385334848552205,Одеська,селища міського типу,Ширяївський
Велика Круча,5323881001,32.56524392019606,50.19095614826255,Полтавська,село,Пирятинський
Велика Обухівка,5323280701,33.935446610684444,50.14512520738185,Полтавська,село,Миргородський
Велика Павлівка,5321381401,34.266518808683074,50.23518611559808,Полтавська,село,Зіньківський
Велика Пожарня,5321384002,34.47644004040547,50.2201910318216,Полтавська,село,Зіньківський
Давидківці,6125582601,25.99226316224036,48.93579127416184,Тернопільська,село,Чортківський
Данилівці,6122687302,25.301348436859637,49.65983551033297,Тернопільська,село,Зборівський
Дарахів,6125082201,25.535763216266222,49.2897121381464,Тернопільська,село,Теребовлянський
Великі Липняги,5324583901,33.09970205979158,49.64468994358036,Полтавська,село,Семенівський
Дзвинячка,6120883601,26.24854329129352,48.58183535518085,Тернопільська,село,Борщівський
Дибще,6123083201,25.084502713391583,49.439025206772904,Тернопільська,село,Козівський
Дичків,6125282401,25.727798546877544,49.50683073045681,Тернопільська,село,Тернопільський
Діброва,6124280802,25.128700942616327,48.97136239071106,Тернопільська,село,Монастириський
Дітківці,6122687702,25.508394518174544,49.743100985373324,Тернопільська,село,Зборівський
Велика Рача,1825080901,29.342265218575328,50.56114249210369,Житомирська,село,Радомишльський
Велика Фосня,1824280901,28.80494202128386,51.259595040535054,Житомирська,село,Овруцький
Велика Хайча,1824281101,28.582406323383115,51.3021682760656,Житомирська,село,Овруцький
Велика Цвіля,1821782001,27.608914872695628,50.80639973442428,Житомирська,село,Ємільчинський
Велика Чернігівка,1824281301,28.917895037365238,51.283758210195565,Житомирська,село,Овруцький
Жолоби,6123482601,25.69647974777695,50.07439439681539,Тернопільська,село,Кременецький
Жолобки,6125882801,25.978917140772026,50.12470517268386,Тернопільська,село,Шумський
Жуків,6120481801,24.942694943402188,49.514785651941565,Тернопільська,село,Бережанський
Жуківці,6122689803,25.23512093104655,49.69537486918885,Тернопільська,село,Зборівський
Велика Рублівка,5322280801,34.81765534836875,49.8958696197562,Полтавська,село,Котелевський
Велика Рудка,5321082001,34.46244829289324,49.7488678769322,Полтавська,село,Диканський
Велике,5320484702,34.294981421357164,50.36782869294482,Полтавська,село,Гадяцький
Велике Болото,5323483402,34.53924927486304,49.361833150077224,Полтавська,село,Новосанжарський
Великий Байрак,5323280401,33.84781204670281,50.042523604725645,Полтавська,село,Миргородський
Демня,6120485705,24.795359804246782,49.40050654040821,Тернопільська,село,Бережанський
Денисів,6123082801,25.334771989450513,49.459757845704296,Тернопільська,село,Козівський
Джурин,6125582901,25.577905667731823,49.03160855729254,Тернопільська,село,Чортківський
Дзвенигород,6120888302,26.279431723494024,48.5466916716206,Тернопільська,село,Борщівський
Дзвиняч,6122082401,25.730872624276394,48.705211299066285,Тернопільська,село,Заліщицький
Дзвиняча,6122482101,25.65916859592278,49.926976011648314,Тернопільська,село,Збаразький
Водяне,3524082402,31.64785790711427,48.1992156492496,Кіровоградська,село,Новоукраїнський
Водяне,3524981301,33.09456483319505,48.34685624773357,Кіровоградська,село,Петрівський
Водяно-Михайлівка,3520885602,32.011788856956784,47.96051426571132,Кіровоградська,село,Бобринецький
Войнівка,3520381801,33.060032844820306,48.707810426317046,Кіровоградська,село,Олександрійський
Велика П'ятигірка,1820881201,28.47822627930927,49.86869069994652,Житомирська,село,Бердичівський
Жуківці,6123881203,26.008761534058177,49.79976884839341,Тернопільська,село,Лановецький
Забара,6125883102,25.954669227174982,50.16629680943552,Тернопільська,село,Шумський
Заберізки,6123084802,25.14385076738857,49.558971826906934,Тернопільська,село,Козівський
Забойки,6125287002,25.44661304208902,49.531169345909916,Тернопільська,село,Тернопільський
Заболотівка,6125583101,25.83660174493572,48.88657682070625,Тернопільська,село,Чортківський
Завалів,6124882501,25.02889713336617,49.20518955899667,Тернопільська,село,Підгаєцький
Великий Кобелячок,5323480401,34.11082666730491,49.36499894597118,Полтавська,село,Новосанжарський
Великий Тростянець,5324086201,34.536523945473455,49.496140266254486,Полтавська,село,Полтавський
Великі Будища,5320481401,34.14435899633697,50.4631585266206,Полтавська,село,Гадяцький
Великі Кринки,5320684601,33.484829709177006,49.45710024683557,Полтавська,село,Глобинський
Загір'я,6122683401,25.435583598544838,49.86635402356776,Тернопільська,село,Зборівський
Веселівка,3520882801,32.17650164196266,47.7794403241129,Кіровоградська,село,Бобринецький
Великі Солонці,5323480701,34.425187797173095,49.280034326439036,Полтавська,село,Новосанжарський
Великі Сорочинці,5323281001,33.94454865264105,50.02425759768419,Полтавська,село,Миргородський
Великоселецьке,5323685901,32.80070955762633,49.80951262570391,Полтавська,село,Оржицький
Вельбівка,5320481701,34.04331334458568,50.33804593264889,Полтавська,село,Гадяцький
Венеславівка,5320485203,33.698051743858585,50.36938920190291,Полтавська,село,Гадяцький
Венслави,5322685802,33.23955787804802,50.30804331456715,Полтавська,село,Лохвицький
Дмухівці,6123055401,25.33761963704015,49.545203831085004,Тернопільська,село,Козівський
Доброводи,6122482401,25.63902568344733,49.71858517337333,Тернопільська,село,Збаразький
Доброводи,6124283801,25.212759417264838,49.15653524835819,Тернопільська,село,Монастириський
Веприк,5320482001,34.16870461042556,50.37163802018121,Полтавська,село,Гадяцький
Вербине,5324881203,33.421118836667674,49.74294446058948,Полтавська,село,Хорольський
Вербки,5324588003,33.22765494808762,49.47504181146279,Полтавська,село,Семенівський
Вербове,5324086505,34.75431026809782,49.638119041442934,Полтавська,село,Полтавський
Вергуни,5324881903,33.34743340928013,49.861162439278786,Полтавська,село,Хорольський
Долина,6125082901,25.728234792171552,49.210652730070386,Тернопільська,село,Теребовлянський
Долина,6125589503,25.723236845924742,48.94166134486182,Тернопільська,село,Чортківський
Домаморич,6125282601,25.425745921725397,49.5510911158359,Тернопільська,село,Тернопільський
Дорогичівка,6122083001,25.51582859246923,48.851105510189804,Тернопільська,село,Заліщицький
Дорофіївка,6124681801,26.205706072937836,49.556014110753246,Тернопільська,село,Підволочиський
Драганівка,6125282801,25.509900948863507,49.508508471082344,Тернопільська,село,Тернопільський
Драгоманівка,6123085602,25.39665557215161,49.4242366096165,Тернопільська,село,Козівський
Доброполе,6121281601,25.429795049083896,49.1958159474252,Тернопільська,село,Бучацький
Довге,6125082701,25.721527379630764,49.219025471404095,Тернопільська,село,Теребовлянський
Довжанка,6125282501,25.470113859600996,49.562942969720055,Тернопільська,село,Тернопільський
Будо-Орловецька,7120380501,31.621763851739185,49.29893658928148,Черкаська,село,Городищенський
Бубнівська Слобідка,7121581501,31.7156960583559,49.702694703408774,Черкаська,село,Золотоніський
Буда-Бровахівська,7122580502,31.33412455084219,49.517814772559724,Черкаська,село,Корсунь-Шевченківський
Будище,7121281201,31.029509522284208,49.19387479498012,Черкаська,село,Звенигородський
Веселівка,3522281902,32.76560612407957,48.920291886605284,Кіровоградська,село,Знам'янський
Веселівка,3522581501,32.4465320589255,48.56598184847108,Кіровоградська,село,Кіровоградський
Веснянка,3521785302,31.398653698027694,48.27295904933159,Кіровоградська,село,Добровеличківський
Видне,3520383502,33.23976692156169,48.51018887791617,Кіровоградська,село,Олександрійський
Виноградівка,3522880901,31.965137112120043,48.22177554411488,Кіровоградська,село,Компаніївський
Виноградне,3523180303,31.224627546615846,48.67452247192807,Кіровоградська,село,Маловисківський
Весела Долина,5320684602,33.48351043905361,49.404632807305276,Полтавська,село,Глобинський
Веселе,5320485902,33.73532689200234,50.43575544925008,Полтавська,село,Гадяцький
Веселе,5322682403,33.40993138219479,50.4691166789834,Полтавська,село,Лохвицький
Веселе,5323281803,33.514484051056016,50.05171391534527,Полтавська,село,Миргородський
Веселий Поділ,5324581201,33.25842219298906,49.59584801518597,Полтавська,село,Семенівський
Духів,6123482002,25.702574306805136,50.00905064305136,Тернопільська,село,Кременецький
Ємелівка,6121682702,25.85729565432547,49.09707167285042,Тернопільська,село,Гусятинський
Жабинці,6121681101,25.976265548862887,49.0442750207925,Тернопільська,село,Гусятинський
Жабиня,6122684502,25.0033714754086,49.64785226807712,Тернопільська,село,Зборівський
Клесів,5625455400,26.89303078850271,51.31693580702581,Рівненська,селища міського типу,Сарненський
Клесів,5625455401,26.921505536874303,51.328115067058775,Рівненська,село,Сарненський
Пугач,5625455402,26.898171341372464,51.341422190864016,Рівненська,село,Сарненський
Мізоч,5622655400,26.135137645621697,50.39935228081503,Рівненська,селища міського типу,Здолбунівський
Абрамівська Долина,0524984503,28.100206825181555,48.5130749247454,Вінницька,село,Чернівецький
Велика Чернявка,1824781802,29.587041733748638,49.97799226895986,Житомирська,село,Попільнянський
Великий Браталів,1823181201,27.95233691657098,49.99196642550749,Житомирська,село,Любарський
Великий Дивлин,1822881301,28.106537093314316,51.07999124964337,Житомирська,село,Лугинський
Великий Кобилин,1824281102,28.54402818220257,51.31561029131544,Житомирська,село,Овруцький
Буда-Горобіївська,7122081502,31.36511900012679,49.570756286593046,Черкаська,село,Канівський
Буда-Макіївка,7123784002,31.685879624942455,48.97714362657543,Черкаська,село,Смілянський
