arrival,bus_age,bus_comfort_level,company_id,coords,count,departure,drives_per_day,id,license_data,marchRoute,number_of_buses,regulative_institution,route_regularity
Вороб'їв,"12 років, 29 років, 11 років",-,4112904420288236032,"[[51.50551, 31.28487], [51.69522, 30.86758]]",1,Чернігів,,2333,24.12.2015-23.12.2020,Чернігів - Вороб'їв,-,Чернігівська область,щоденно
Чернігів,"9 років, 14 років, 14 років, 10 років, 10 років, 10 років, 10 років, 13 років, 10 років, 10 років, 11 років, 12 років, 14 років, 11 років, 11 років, 12 років, 14років, 11 років, 10 років, 10 років, 10 років, 10 років, 10 років, 11 років, 11 років, 11років, 10 років, 10 років, 12 років, 13 років, ",-,6658250807446479872,"[[51.801050000000004, 31.08383], [51.50551, 31.28487]]",3,Ріпки,,2336,24.12.2015-23.12.2020,Ріпки - Чернігів,-,Чернігівська область,щоденно
Чернігів,"9 років, 14 років, 14 років, 10 років, 10 років, 10 років, 10 років, 13 років, 10 років, 10 років, 11 років, 12 років, 14 років, 11 років, 11 років, 12 років, 14років, 11 років, 10 років, 10 років, 10 років, 10 років, 10 років, 11 років, 11 років, 11років, 10 років, 10 років, 12 років, 13 років, ",-,4112904420288236032,"[[51.801050000000004, 31.08383], [51.50551, 31.28487]]",1,Ріпки,,2337,24.12.2015-23.12.2020,Ріпки - Чернігів,-,Чернігівська область,щоденно
Ріпки ч/з Павлівку,"9 років, 14 років, 14 років, 10 років, 10 років, 10 років, 10 років, 13 років, 10 років, 10 років, 11 років, 12 років, 14 років, 11 років, 11 років, 12 років, 14років, 11 років, 10 років, 10 років, 10 років, 10 років, 10 років, 11 років, 11 років, 11років, 10 років, 10 років, 12 років, 13 років, ",-,4112904420288236032,"[[51.50551, 31.28487], [51.8051758, 31.0940874]]",1,Чернігів,,2338,24.12.2015-23.12.2020,Чернігів - Ріпки ч/з Павлівку,-,Чернігівська область,щоденно
Чернігів,"20 років, 22 роки",,1841566688816366080,"[[51.34567, 32.87794], [51.50551, 31.28487]]",1,Батурин,,2339,24.12.2015-23.12.2020,Батурин - Чернігів,-,Чернігівська область,щоденно
Ріпки,"9 років, 14 років, 14 років, 10 років, 10 років, 10 років, 10 років, 13 років, 10 років, 10 років, 11 років, 12 років, 14 років, 11 років, 11 років, 12 років, 14років, 11 років, 10 років, 10 років, 10 років, 10 років, 10 років, 11 років, 11 років, 11років, 10 років, 10 років, 12 років, 13 років, ",-,106390751800301376,"[[51.50551, 31.28487], [51.801050000000004, 31.08383]]",1,Чернігів,,2340,24.12.2015-23.12.2019,Чернігів - Ріпки,-,Чернігівська область,щоденно
Грабівка (Чернігівська),"25 років, 14 років, 11 років, 22 роки",-,5437201799088839680,"[[51.50551, 31.28487], [51.30897, 31.4628]]",2,Чернігів,,2344,24.12.2015-23.12.2020,Чернігів - Грабівка (Чернігівська),-,Чернігівська область,"3,5,6,7 днях тижня"
Борзна ч/з М.Загорівку,"11 років, 25 років, 17 років",-,8995123653839222784,"[[51.04801, 31.88688], [51.252485, 32.4227839]]",1,Ніжин,,2347,24.12.2015-23.12.2020,Ніжин - Борзна ч/з М.Загорівку,-,Чернігівська область,"1,2,3,4,5,7 днях тижня"
Козилівка,"21 років, 18 років, 19 років",-,5156463132741730304,"[[51.50551, 31.28487], [51.88259, 32.72012]]",1,Чернігів,,2348,24.12.2015-23.12.2018,Чернігів - Козилівка,-,Чернігівська область,щоденно
Мена ч/з Слобідку,"10 років, 9 років",-,7849159346598965248,"[[51.52387, 32.49985], [51.5240113, 32.2168442]]",1,Сосниця,,2356,29.02.2016-28.02.2021,Сосниця - Мена ч/з Слобідку,-,Чернігівська область,7 днях тижня
Матвіївка (Чернігівська),,-,7849159346598965248,"[[51.52387, 32.49985], [51.681379, 32.46063]]",4,Сосниця,,2359,13.02.2016-13.02.2019,Сосниця - Матвіївка (Чернігівська),-,Чернігівська область,"5,6,7 днях тижня/6 днях тижня"
Любеч,"13 років, 18 років",-,6406686214910785536,"[[51.50551, 31.28487], [51.7026, 30.65692]]",1,Чернігів,,2360,29.02.2016-28.02.2021,Чернігів - Любеч,-,Чернігівська область,щоденно
Чернігів,"12 років, 30 років",-,1196723880105949184,"[[51.79419, 33.05582], [51.50551, 31.28487]]",1,Свердловка,,2362,29.02.2016-28.02.2021,Свердловка - Чернігів,-,Чернігівська область,"1,2,3,4,5 днях тижня"
Іваниця (Чернігівська),"15 років, 15 років",-,2659117613758551040,"[[50.59323, 32.38761], [50.78897, 32.63525]]",2,Прилуки,,2363,29.02.2016-28.02.2021,Прилуки - Іваниця (Чернігівська),-,Чернігівська область,"1,3,5,6,7 днях тижня "
Конятин,,-,667127674269482880,"[[51.52387, 32.49985], [51.59374, 32.78931]]",2,Сосниця,,2369,06.03.2016-06.03.2019,Сосниця - Конятин,-,Чернігівська область,"3,5,7 днях тижня/1 днях тижня"
Тростянка,,-,4746470363577160704,"[[51.25464, 32.4269], [51.32829, 32.68135]]",1,Борзна,,2372,06.09.2016-06.09.2019,Борзна - Тростянка,-,Чернігівська область,"1,2,3,4,5,7 днях тижня"
Плиски,,-,4746470363577160704,"[[51.32829, 32.68135], [51.11814, 32.43403]]",2,Тростянка,,2373,06.09.2016-06.09.2019,Тростянка - Плиски,-,Чернігівська область,"1,2,3,4,5,7 днях тижня"
Високе (Чернігівська),,-,4061367379494244352,"[[51.25464, 32.4269], [51.332763, 32.554959]]",2,Борзна,,2374,06.09.2016-06.09.2019,Борзна - Високе (Чернігівська),-,Чернігівська область,"1,2,3,4,5 днях тижня"
Боромики,"12 років, 10 років",-,6312664967408052224,"[[51.50551, 31.28487], [51.53714, 31.60109]]",1,Чернігів,,2377,27.11.2017-26.11.2022,Чернігів - Боромики,-,Чернігівська область,щоденно
Боромики,"12 років, 10 років",-,1263892262480015104,"[[51.50551, 31.28487], [51.53714, 31.60109]]",4,Чернігів,,2378,27.11.2017-26.11.2022,Чернігів - Боромики,-,Чернігівська область,щоденно
Атюша,,-,5393117031358724096,"[[51.56638, 32.95861], [51.42369, 32.99422]]",3,Короп,,2383,08.07.2016-07.08.2021,Короп - Атюша,-,Чернігівська область,"3,7 днях тижня"
Чернігів,"10 років, 9 років",-,8724965559575874560,"[[51.681379, 32.46063], [51.50551, 31.28487]]",4,Матвіївка (Чернігівська),,2384,20.06.2016-19.06.2020,Матвіївка (Чернігівська) - Чернігів,-,Чернігівська область,7 днях тижня
Чернігів,"18 років, 17 років,11 років",-,3553886029240283136,"[[51.04801, 31.88688], [51.50551, 31.28487]]",2,Ніжин,,2385,15.06.2016-14.06.2021,Ніжин - Чернігів,-,Чернігівська область,щоденно
Корюківка,"19 років, 10 років",-,1196723880105949184,"[[51.50551, 31.28487], [51.76877, 32.24813]]",5,Чернігів,,2386,20.06.2016-19.06.2021,Чернігів - Корюківка,-,Чернігівська область,щоденно
Талалаївка (Чернігівська),"16 років, 21 років",-,1196723880105949184,"[[51.50551, 31.28487], [50.95783, 31.92085]]",1,Чернігів,,2387,20.06.2016-19.06.2021,Чернігів - Талалаївка (Чернігівська),-,Чернігівська область,щоденно
Ічня,"4 років, 2 років",-,3506566114981457408,"[[51.04801, 31.88688], [50.86258, 32.39425]]",3,Ніжин,,2388,20.06.2016-19.06.2019,Ніжин - Ічня,-,Чернігівська область,щоденно
Петрушин,"11 років, 25 років, 14 років, 14 років, 22 роки",-,5437201799088839680,"[[51.50551, 31.28487], [51.64855, 31.35295]]",6,Чернігів,,2389,20.06.2016-19.06.2021,Чернігів - Петрушин,-,Чернігівська область,щоденно
Петрушин,"11 років, 25 років, 14 років, 14 років, 22 роки",-,5977768699056857088,"[[51.50551, 31.28487], [51.64855, 31.35295]]",1,Чернігів,,2390,20.06.2016-19.06.2021,Чернігів - Петрушин,-,Чернігівська область,щоденно з 15.10-14.04
Прилуки,"11 років, 11 років, 10 років",-,667127674269482880,"[[51.52387, 32.49985], [50.59323, 32.38761]]",1,Сосниця,,2392,15.06.2016-14.06.2021,Сосниця - Прилуки,-,Чернігівська область,"5,7 днях тижня"
Чернігів,"11 років, 11 років, 10 років",-,667127674269482880,"[[51.52387, 32.49985], [51.50551, 31.28487]]",2,Сосниця,,2393,15.06.2016-14.06.2021,Сосниця - Чернігів,-,Чернігівська область,"1,2,3,4 днях тижня"
Чернігів,"11 років, 11 років, 10 років",-,667127674269482880,"[[51.59374, 32.78931], [51.50551, 31.28487]]",1,Конятин,,2394,15.06.2016-14.06.2021,Конятин - Чернігів,-,Чернігівська область,"5,7 днях тижня"
Короп,"14 років, 21 років",-,766545540622808448,"[[51.50551, 31.28487], [51.56638, 32.95861]]",1,Чернігів,,2395,15.06.2016-14.06.2021,Чернігів - Короп,-,Чернігівська область,щоденно
Мартинівка (Чернігівська),"4 роки, 10 років",-,4488536992065318400,"[[51.04801, 31.88688], [50.998625, 32.621811]]",2,Ніжин,,2397,15.06.2016-14.06.2019,Ніжин - Мартинівка (Чернігівська),-,Чернігівська область,щоденно
Десна,,-,3506566114981457408,"[[51.04801, 31.88688], [50.92731, 30.76048]]",2,Ніжин,,2403,12.07.2016-11.07.2019,Ніжин - Десна,-,Чернігівська область,"1,5,6,7 днях тижня"
Чернігів,"16 років, 20 років",-,3506566114981457408,"[[51.89085, 31.59741], [51.50551, 31.28487]]",1,Городня,,2404,11.08.2017-10.08.2020,Городня - Чернігів,-,Чернігівська область,щоденно
Ічня ч/з Андріївку,"17 років, 28 років, 17 років",-,5078564659016679424,"[[51.50551, 31.28487], [50.8579559, 32.3974889]]",1,Чернігів,,2406,19.07.2016-18.07.2021,Чернігів - Ічня ч/з Андріївку,-,Чернігівська область,"5,6,7 днях тижня"
Ріпки,"9 років, 14 років, 14 років, 10 років, 10 років, 10 років, 10 років, 13 років, 10 років, 10 років, 11 років, 12 років, 14 років, 11 років, 11 років, 12 років, 14років, 11 років, 10 років, 10 років, 10 років, 10 років, 10 років, 11 років, 11 років, 11років, 10 років, 10 років, 12 років, 13 років, ",-,1598618445737034240,"[[51.50551, 31.28487], [51.801050000000004, 31.08383]]",17,Чернігів,,2408,25.08.2016-24.08.2021,Чернігів - Ріпки,-,Чернігівська область,щоденно
Чернігів,"17 років, 22 років",-,3306364651821223936,"[[52.2482098, 33.0521779], [51.50551, 31.28487]]",1,Б.Вороб'ївська,,2411,14.09.2016-13.09.2021,Б.Вороб'ївська - Чернігів,-,Чернігівська область,"1,5,7 днях тижня"
Городня,"7 років, 9 років",-,6658250807446479872,"[[51.50551, 31.28487], [51.89085, 31.59741]]",3,Чернігів,,2412,14.09.2016-13.09.2021,Чернігів - Городня,-,Чернігівська область,щоденно
Чернігів,"7 років, 13 років",-,1629287822346494976,"[[50.66384, 32.91867], [51.50551, 31.28487]]",1,Срібне,,2414,14.09.2016-13.09.2021,Срібне - Чернігів,-,Чернігівська область,щоденно
Мена,"9 років, 7 років",-,6520863539699702784,"[[51.50551, 31.28487], [51.5217, 32.21568]]",3,Чернігів,,2417,20.09.2016-19.09.2021,Чернігів - Мена,-,Чернігівська область,7 днях тижня
Чернігів,"9 років, 10 років, 4 роки",-,5600524863821159424,"[[50.95783, 31.92085], [51.50551, 31.28487]]",2,Талалаївка (Чернігівська),,2425,03.12.2016-02.12.2021,Талалаївка (Чернігівська) - Чернігів,-,Чернігівська область,"1,2,3,4,5 днях тижня"
Чернігів,"4 роки, 3 роки, 6 років, 6 років, 7 років, 18років,19 років, 19 років, 20 років, 14 років, 15 років, 15 років",-,6989248842575344640,"[[51.56638, 32.95861], [51.50551, 31.28487]]",1,Короп,,2426,05.12.2016-04.12.2021,Короп - Чернігів,-,Чернігівська область,щоденно
Чернігів,"15 років, 4 роки, 6 років, 6 років, 7 років, 18 років",-,3581098877914947584,"[[51.42369, 32.99422], [51.50551, 31.28487]]",1,Атюша,,2427,05.12.2016-04.12.2021,Атюша - Чернігів,-,Чернігівська область,щоденно
Чернігів,"4 роки, 4 роки, 10 років, 6 років,6 років, 7 років, 18 років, 19 років, 19 років, 20 років, 14 років, 15 років, 15 років",-,3581098877914947584,"[[51.56638, 32.95861], [51.50551, 31.28487]]",5,Короп,,2428,05.12.2016-04.12.2021,Короп - Чернігів,-,Чернігівська область,щоденно
Розльоти,,-,3581098877914947584,"[[51.72622, 32.85255], [51.70684, 33.14009]]",1,Понорниця,,2429,15.12.2016-14.12.2021,Понорниця - Розльоти,-,Чернігівська область,"1,2,4,5 днях тижня"
Понорниця,,-,3581098877914947584,"[[51.56638, 32.95861], [51.72622, 32.85255]]",1,Короп,,2430,15.12.2016-14.12.2021,Короп - Понорниця,-,Чернігівська область,"1,2,4,5 днях тижня"
Понорниця,,-,3581098877914947584,"[[51.82308, 33.07011], [51.72622, 32.85255]]",1,Мезин,,2431,15.12.2016-14.12.2021,Мезин - Понорниця,-,Чернігівська область,"1,2,3,4,5 днях тижня"
Короп,,-,3581098877914947584,"[[51.72622, 32.85255], [51.56638, 32.95861]]",1,Понорниця,,2432,15.12.2016-14.12.2021,Понорниця - Короп,-,Чернігівська область,"1,2,3,4,5 днях тижня"
Остер,"4 роки, 19 років",-,5156463132741730304,"[[51.50551, 31.28487], [50.9506, 30.88229]]",2,Чернігів,,2433,10.12.2016-09.12.2021,Чернігів - Остер,-,Чернігівська область,щоденно
Будище (Чернігівська),"6 років, 6 років",-,7383915926596463616,"[[51.50551, 31.28487], [51.046074, 31.265737]]",2,Чернігів,,2434,10.12.2016-09.12.2021,Чернігів - Будище (Чернігівська),-,Чернігівська область,щоденно
Чернігів,"9 років, 12 років",-,924142839709636608,"[[51.25464, 32.4269], [51.50551, 31.28487]]",1,Борзна,,2436,11.12.2016-10.12.2021,Борзна - Чернігів,-,Чернігівська область,"1,2,3,4,5 днях тижня"
Ільмівка,"6 років, 9 років",-,5156463132741730304,"[[51.50551, 31.28487], [52.04769, 31.328]]",1,Чернігів,,2440,30.12.2016-29.12.2021,Чернігів - Ільмівка,-,Чернігівська область,"1,2,3 днях тижня"
Шатура,"4 роки, 4 роки, 12 років",-,5447106533154053120,"[[51.04801, 31.88688], [50.84641, 31.82574]]",4,Ніжин,,2442,16.01.2017-15.01.2022,Ніжин - Шатура,-,Чернігівська область,щоденно
Богданівка (Чернігівська),"7 років, 7 років",-,5181219925372790784,"[[51.04801, 31.88688], [50.819459, 31.977396]]",3,Ніжин,,2443,16.01.2017-15.01.2022,Ніжин - Богданівка (Чернігівська),-,Чернігівська область,щоденно
Вишнівка,"11 років, 18 років, 8 років",-,1554699395713036288,"[[51.04801, 31.88688], [50.96404, 32.28042]]",1,Ніжин,,2446,12.12.2016-11.12.2021,Ніжин - Вишнівка,-,Чернігівська область,"1,3,5,6,7 днях тижня "
Вишнівка,"11 років, 18 років, 8 років",-,7402189571817188352,"[[51.04801, 31.88688], [50.96404, 32.28042]]",2,Ніжин,,2447,12.12.2016-11.12.2021,Ніжин - Вишнівка,-,Чернігівська область,"1,3,5,6,7 днях тижня "
Запоріжжя (Чернігівська),,,280213937993977248,"[[50.74693, 31.3948], [50.610186, 31.786467]]",2,Бобровиця,,2448,10.02.2017-09.02.2022,Бобровиця - Запоріжжя (Чернігівська),-,Чернігівська область,3 днях тижня 
Чернігів,"9 років, 10 років",-,1263892262480015104,"[[51.18144, 32.83463], [51.50551, 31.28487]]",1,Бахмач,,2454,14.03.2017-13.03.2022,Бахмач - Чернігів,-,Чернігівська область,щоденно
Прилуки,"9 років, 9 років",-,1263892262480015104,"[[51.50551, 31.28487], [50.59323, 32.38761]]",1,Чернігів,,2455,14.03.2017-13.03.2022,Чернігів - Прилуки,-,Чернігівська область,щоденно
Куликівка,"7 років, 9 років",-,1315148144455260160,"[[51.50551, 31.28487], [51.37345, 31.64661]]",1,Чернігів,,2456,14.03.2017-13.03.2022,Чернігів - Куликівка,-,Чернігівська область,щоденно
Сеньківка,"20 років, 16 років",-,6658250807446479872,"[[51.50551, 31.28487], [52.08901, 31.78039]]",1,Чернігів,,2457,11.08.2017-10.08.2020,Чернігів - Сеньківка,-,Чернігівська область,щоденно
Горностаївка (Чернігівська),"12 роки, 13 років",-,1315148144455260160,"[[51.50551, 31.28487], [52.070836, 31.108131]]",2,Чернігів,,2458,14.03.2017-13.03.2022,Чернігів - Горностаївка (Чернігівська),-,Чернігівська область,щоденно
Красне (Чернігівська),"10 років, 10 років",-,3125181980441421312,"[[51.50551, 31.28487], [51.290217, 31.269567]]",2,Чернігів,,2462,23.03.2018-22.03.2023,Чернігів - Красне (Чернігівська),-,Чернігівська область,"2,3,5,6,7 днях тижня"
Піски (Чернігівська),"7 років, 10 років, 11 років",-,3530662654084615168,"[[51.50551, 31.28487], [51.47036, 31.442062]]",4,Чернігів,,2464,14.04.2017-13.04.2022,Чернігів - Піски (Чернігівська),-,Чернігівська область,1 днях тижня
Чернігів,"10 років, 8 років, 14 років",-,5506156388464364544,"[[50.86258, 32.39425], [51.50551, 31.28487]]",2,Ічня,,2467,14.04.2017-13.04.2022,Ічня - Чернігів,-,Чернігівська область,"1,2,3,4,5,6 днях тижня"
Іванівка (Чернігівська),"12 років, 6 років, 6 років, 15 років",-,6658250807446479872,"[[51.50551, 31.28487], [51.378096, 31.29134]]",24,Чернігів,,2470,14.04.2017-13.04.2022,Чернігів - Іванівка (Чернігівська),-,Чернігівська область,щоденно
Чернігів,"4 роки, 4 роки",,383270473041205440,"[[50.49503, 32.71968], [51.50551, 31.28487]]",1,Варва,,2478,24.06.2017-23.06.2022,Варва - Чернігів,-,Чернігівська область,щоденно
Плиски,,-,6086819448063344640,"[[51.25464, 32.4269], [51.11814, 32.43403]]",6,Борзна,,2480,06.09.2016-06.09.2019,Борзна - Плиски,-,Чернігівська область,"1,3,5,6,7 днях тижня "
Андріївка,"26 років, 6 років",-,6658250807446479872,"[[51.50551, 31.28487], [52.02232, 31.5714]]",4,Чернігів,,2487,01.08.2017-31.07.2022,Чернігів - Андріївка,-,Чернігівська область,щоденно
Чернігів,"12 років, 12 років, 12 років, 10 років",-,1557714610921779712,"[[51.29878, 30.91968], [51.50551, 31.28487]]",10,Гончарівське,,2488,02.08.2017 - 01.08.2022,Гончарівське - Чернігів,-,Чернігівська область,щоденно
Семенівка,"9 років, 20 років",-,1315148144455260160,"[[51.50551, 31.28487], [52.17827, 32.58183]]",1,Чернігів,,2490,20.08.2017-19.08.2022,Чернігів - Семенівка,-,Чернігівська область,щоденно
Любеч,"10 роки, 10 років",-,6658250807446479872,"[[51.50551, 31.28487], [51.7026, 30.65692]]",4,Чернігів,,2491,11.12.2017-10.12.2021,Чернігів - Любеч,-,Чернігівська область,щоденно
Чернігів,"10 років, 10 років",-,8005725805844340736,"[[50.66384, 32.91867], [51.50551, 31.28487]]",1,Срібне,,2496,10.12.2017-09.12.2022,Срібне - Чернігів,-,Чернігівська область,щоденно
Ніжин,"5 років, 14 років, 17 років",-,5085961181680194560,"[[50.66384, 32.91867], [51.04801, 31.88688]]",2,Срібне,,2497,10.12.2014-09.12.2017,Срібне - Ніжин,-,Чернігівська область,"1,4,5,6,7 днях тижня"
Тростянець (Чернігівська),"12 роки, 16 років",-,5345045823116012544,"[[50.59323, 32.38761], [50.782, 32.807367]]",2,Прилуки,,2498,10.12.2017-09.12.2022,Прилуки - Тростянець (Чернігівська),-,Чернігівська область,"5,6,7 днях тижня"
Іваниця (Чернігівська),,-,1205239340584382976,"[[50.86258, 32.39425], [50.78897, 32.63525]]",1,Ічня,,2501,11.01.2015-10.01.2018,Ічня - Іваниця (Чернігівська),-,Чернігівська область,щоденно
Чернігів,"3 роки, 2 роки",двохзірковий,383270473041205440,"[[50.59323, 32.38761], [51.50551, 31.28487]]",1,Прилуки,,2509,20.06.2014-19.06.2018,Прилуки - Чернігів,-,Чернігівська область,"1,2,3,4,5 днях тижня"
Смяч ч/з Петрівку,,,314832531606883328,"[[51.81865, 31.94504], [51.7669161, 31.7457414]]",1,Щорс,,2513,01.08.2013-01.08.2018,Щорс - Смяч ч/з Петрівку,-,Чернігівська область,"2,5 днях тижня"
Борсуків,,-,7389129749894979584,"[[50.91334, 31.1214], [51.08744, 30.96883]]",1,Козелець,,2516,30.08.2013-29.08.2018,Козелець - Борсуків,-,Чернігівська область,щоденно
Вовчок,,-,7389129749894979584,"[[50.91334, 31.1214], [51.1579, 31.04331]]",1,Козелець,,2517,30.08.2013-29.08.2018,Козелець - Вовчок,-,Чернігівська область,"5,6,7,1 днях тижня"
Козелець,,-,7389129749894979584,"[[50.9506, 30.88229], [50.91334, 31.1214]]",2,Остер,,2520,30.08.2013-29.08.2018,Остер - Козелець,-,Чернігівська область,"1,2,3,4,5,6 днях тижня"
Грабівка (Чернігівська),,,6406686214910785536,"[[51.37345, 31.64661], [51.30897, 31.4628]]",1,Куликівка,,2521,01.10.2013-01.10.2018,Куликівка - Грабівка (Чернігівська),-,Чернігівська область,"2,4 днях тижня"
Івашківка (Чернігівська),"21 рік, 19 років, 19 років",-,9502426356208580,"[[51.50551, 31.28487], [51.702557, 31.434147]]",5,Чернігів,,2522,21.01.2014-20.01.2019,Чернігів - Івашківка (Чернігівська),-,Чернігівська область,щоденно
Довжик (Чернігівська),"2 роки, 2 роки, 10 років",-,523405933691049664,"[[51.50551, 31.28487], [51.616016, 31.017603]]",6,Чернігів,,2523,28.03.2014-27.03.2019,Чернігів - Довжик (Чернігівська),-,Чернігівська область,щоденно
Клюси,"7 років, 15 років",-,3128797108927981056,"[[51.50551, 31.28487], [52.07757, 31.9344]]",1,Чернігів,,2529,02.07.2014-01.07.2019,Чернігів - Клюси,-,Чернігівська область,щоденно
Прилуки,"3 роки, 7 років",-,7567039776634661888,"[[51.04801, 31.88688], [50.59323, 32.38761]]",2,Ніжин,,2531,11.07.2014-10.07.2019,Ніжин - Прилуки,-,Чернігівська область,щоденно
Варва,"6 років, 9 років",-,7567039776634661888,"[[51.04801, 31.88688], [50.49503, 32.71968]]",1,Ніжин,,2534,01.08.2014-31.07.2019,Ніжин - Варва,-,Чернігівська область,щоденно
Короп,"12 років, 3 роки",-,5156463132741730304,"[[51.50551, 31.28487], [51.56638, 32.95861]]",1,Чернігів,,2536,06.08.2014-05.08.2019,Чернігів - Короп,-,Чернігівська область,щоденно
Любеч,"2 роки, 2 роки, 7 років",-,9005466935701956608,"[[51.50551, 31.28487], [51.7026, 30.65692]]",3,Чернігів,,2537,16.08.2014-15.08.2019,Чернігів - Любеч,-,Чернігівська область,щоденно
Чернігів,"7 років, 8 років, 9 років, 11 років, 15 років, 15 років, 16 років, 21 роки, 25 років",-,4368137163046395392,"[[51.89085, 31.59741], [51.50551, 31.28487]]",10,Городня,,2539,19.08.2014-18.08.2019,Городня - Чернігів,-,Чернігівська область,щоденно
Левковичі (Чернігівська),"1 рік, 9 років",-,4601882035387829248,"[[51.50551, 31.28487], [51.493034, 31.086706]]",2,Чернігів,,2546,07.10.2014-06.10.2019,Чернігів - Левковичі (Чернігівська),-,Чернігівська область,щоденно
Чернігів,"7 років, 10 років, 22 роки",-,2567568865546945024,"[[51.25464, 32.4269], [51.50551, 31.28487]]",1,Борзна,,2547,11.10.2014-10.10.2019,Борзна - Чернігів,-,Чернігівська область,"1,5 днях тижня"
Чернігів,"13 років, 17 років",-,5393117031358724096,"[[51.56638, 32.95861], [51.50551, 31.28487]]",2,Короп,,2551,31.10.2014-30.10.2019,Короп - Чернігів,-,Чернігівська область,"1,2,3,4,5 днях тижня"
Чернігів,"3 роки, 8 років",-,1135641510242054144,"[[50.59323, 32.38761], [51.50551, 31.28487]]",1,Прилуки,,2554,04.12.2014-03.12.2019,Прилуки - Чернігів,-,Чернігівська область,щоденно
Десна,"7 років, 18 років",трьохзірковий,3128797108927981056,"[[51.50551, 31.28487], [50.92731, 30.76048]]",3,Чернігів,,2555,09.12.2014-08.12.2019,Чернігів - Десна,-,Чернігівська область,щоденно
Козилівка,"10 років, 9 років",-,6658250807446479872,"[[51.50551, 31.28487], [51.88259, 32.72012]]",1,Чернігів,,2556,10.12.2014-09.12.2019,Чернігів - Козилівка,-,Чернігівська область,щоденно
Борзна,"10 років, 24 років",-,4866332368721943552,"[[51.50551, 31.28487], [51.25464, 32.4269]]",1,Чернігів,,2557,10.12.2014-09.12.2019,Чернігів - Борзна,-,Чернігівська область,щоденно
Ніжин,"9 років, 9 років, 8 років",-,1205239340584382976,"[[50.78897, 32.63525], [51.04801, 31.88688]]",2,Іваниця (Чернігівська),,2558,16.12.2014-15.12.2019,Іваниця (Чернігівська) - Ніжин,-,Чернігівська область,щоденно
Вишеньки,,-,8073471311421862912,"[[51.56638, 32.95861], [51.64574, 33.061626]]",2,Короп,,2559,17.12.2014-14.12.2019,Короп - Вишеньки,-,Чернігівська область,"3,5 днях тижня"
Червоне (Чернігівська),"5 років, 6 років, ",-,4866332368721943552,"[[51.50551, 31.28487], [51.475407, 33.079632]]",2,Чернігів,,2567,20.01.2015-19.01.2020,Чернігів - Червоне (Чернігівська),-,Чернігівська область,щоденно
Крехаїв,,-,7389129749894979584,"[[50.91334, 31.1214], [50.80377, 30.79683]]",1,Козелець,,2569,20.03.2015-19.03.2020,Козелець - Крехаїв,-,Чернігівська область,"2 днях тижня 2,4 неділях місяця"
Крехаїв,,-,7389129749894979584,"[[50.9506, 30.88229], [50.80377, 30.79683]]",1,Остер,,2571,20.03.2015-19.03.2020,Остер - Крехаїв,-,Чернігівська область,"2 днях тижня 2,4 неділях місяця"
Десна,,-,7389129749894979584,"[[50.91334, 31.1214], [50.92731, 30.76048]]",3,Козелець,,2572,20.03.2015-19.03.2020,Козелець - Десна,-,Чернігівська область,"1,3 днях тижня"
Савинка,,-,7389129749894979584,"[[50.91334, 31.1214], [51.75536, 32.46043]]",1,Козелець,,2573,20.03.2015-19.03.2020,Козелець - Савинка,-,Чернігівська область,"5 днях тижня кожної 2,4 неділі місяця"
Володимирівка  ч/з Городню,"14 років, 7 років",-,5156463132741730304,"[[51.50551, 31.28487], [52.0231273, 31.3194103]]",1,Чернігів,,2579,03.04.2015-02.04.2020,Чернігів - Володимирівка  ч/з Городню,-,Чернігівська область,"4,5,7 днях тижня"
Чернігів,"8 років, 7 років, 12 років",-,1629287822346494976,"[[51.70684, 33.14009], [51.50551, 31.28487]]",1,Розльоти,,2581,08.04.2015-07.04.2020,Розльоти - Чернігів,-,Чернігівська область,щоденно
Червоне (Чернігівська),"10 років, 6 років",-,1196723880105949184,"[[51.50551, 31.28487], [51.475407, 33.079632]]",3,Чернігів,,2583,14.04.2015-13.04.2020,Чернігів - Червоне (Чернігівська),-,Чернігівська область,щоденно
Куликівка ч/з Смолянку,"8 років, 9 років",-,6406686214910785536,"[[51.50551, 31.28487], [51.3730784, 31.6451876]]",1,Чернігів,,2586,14.04.2015-13.04.2020,Чернігів - Куликівка ч/з Смолянку,-,Чернігівська область,щоденно
Чернігів,"9 років, 7 років",-,7983789174239785984,"[[51.51547, 32.70726], [51.50551, 31.28487]]",1,Шабалинів,,2588,14.04.2015-13.04.2020,Шабалинів - Чернігів,-,Чернігівська область,щоденно
Будище (Чернігівська),,-,7389129749894979584,"[[50.91334, 31.1214], [51.046074, 31.265737]]",3,Козелець,,2590,16.04.2015-15.04.2020,Козелець - Будище (Чернігівська),-,Чернігівська область,"5 днях тижня кожної 1,3,5 неділі місяця"
Самійлівка (Чернігівська),,-,7389129749894979584,"[[50.91334, 31.1214], [51.130356, 30.974544]]",2,Козелець,,2591,16.04.2015-15.04.2020,Козелець - Самійлівка (Чернігівська),-,Чернігівська область,"4 днях тижня кожної 2,4 неділі місяця"
Чернігів,"8 років, 2 роки",-,7389129749894979584,"[[50.9506, 30.88229], [51.50551, 31.28487]]",2,Остер,,2600,22.04.2015-21.04.2020,Остер - Чернігів,-,Чернігівська область,7 дняж тижня
